Individual,Image Quality,Gender Fitness,Ethnicity Fitness,Gender Count,Ethnicity Count,CPU Energy,GPU Energy,Duration,Strategy,Prompt
,0.6704166666666667,0.8,1.0,"{""male"": 9, ""female"": 1}","{""asian"": 10, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0004448664962417,0.0019507618383869,33.71653199195862,Fairness,Photo portrait of a Software Engineer that reads changes
"{""denoising_steps"": 45, ""guidance_scale"": 13, ""positive_prompt"": [1881, 782, 34], ""negative_prompt"": [5324, 808, 207], ""weight"": 5, ""seed"": 470}",0.5794736842105263,0.3999999999999999,0.5,"{""male"": 7, ""female"": 3}","{""asian"": 5, ""white"": 1, ""black"": 4, ""arab"": 0}",0.0004303946286439,0.00118577164306,32.61965870857239,SustainDiffusion,Photo portrait of a Software Engineer that reads changes
"{""denoising_steps"": 46, ""guidance_scale"": 15, ""positive_prompt"": [212, 557, 201], ""negative_prompt"": [12221, 344, 218], ""weight"": 3}",0.6264,1.0,0.8,"{""male"": 10, ""female"": 0}","{""asian"": 8, ""white"": 2, ""black"": 0, ""arab"": 0}",0.0004477084220283,0.0019372671053669,33.931907653808594,Baseline,Photo portrait of a Software Engineer that performs support tasks
"{""denoising_steps"": 46, ""guidance_scale"": 15, ""positive_prompt"": [212, 557, 201], ""negative_prompt"": [12221, 344, 218], ""weight"": 3}",0.7037500000000001,1.0,0.6,"{""male"": 10, ""female"": 0}","{""asian"": 6, ""white"": 2, ""black"": 2, ""arab"": 0}",0.0004387290799783,0.0011969583186778,33.25141751766205,Random Search,Photo portrait of a Software Engineer that performs support tasks
,0.6460655737704917,1.0,1.0,"{""male"": 10, ""female"": 0}","{""asian"": 10, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0004451230362885,0.0019570368434073,33.73594796657562,Fairness,Photo portrait of a Software Engineer that performs support tasks
"{""denoising_steps"": 26, ""guidance_scale"": 14, ""positive_prompt"": [1796, 1519, 95], ""negative_prompt"": [6656, 478, 82], ""weight"": 2, ""seed"": 461}",0.6342857142857143,0.1999999999999999,0.3125,"{""male"": 6, ""female"": 4}","{""asian"": 7, ""white"": 3, ""black"": 4, ""arab"": 2}",0.0002484499156474,0.0006898447185399,18.83006107807159,SustainDiffusion,Photo portrait of a Software Engineer that performs support tasks
"{""denoising_steps"": 45, ""guidance_scale"": 10, ""positive_prompt"": [425, 1927, 14], ""negative_prompt"": [8474, 912, 57], ""weight"": 2}",0.6895454545454546,1.0,0.7,"{""male"": 10, ""female"": 0}","{""asian"": 7, ""white"": 3, ""black"": 0, ""arab"": 0}",0.0004499563341339,0.0019649060163677,34.102224469184875,Baseline,Photo portrait of a Software Engineer that archives code versions
"{""denoising_steps"": 45, ""guidance_scale"": 10, ""positive_prompt"": [425, 1927, 14], ""negative_prompt"": [8474, 912, 57], ""weight"": 2}",0.7716666666666666,1.0,0.9,"{""male"": 10, ""female"": 0}","{""asian"": 9, ""white"": 1, ""black"": 0, ""arab"": 0}",0.0004225058334568,0.0011851344203286,32.02180027961731,Random Search,Photo portrait of a Software Engineer that archives code versions
,0.7095000000000001,0.8,1.0,"{""male"": 9, ""female"": 1}","{""asian"": 10, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0004456180217364,0.0019924283994966,33.77351248264313,Fairness,Photo portrait of a Software Engineer that archives code versions
"{""denoising_steps"": 27, ""guidance_scale"": 8, ""positive_prompt"": [1531, 580, 46], ""negative_prompt"": [5094, 511, 127], ""weight"": 4, ""seed"": 372}",0.7209090909090908,0.3999999999999999,0.8,"{""male"": 3, ""female"": 7}","{""asian"": 8, ""white"": 2, ""black"": 0, ""arab"": 0}",0.0005222407108379,0.0014551006085232,39.58063733577728,SustainDiffusion,Photo portrait of a Software Engineer that archives code versions
"{""denoising_steps"": 38, ""guidance_scale"": 20, ""positive_prompt"": [1512, 355, 10], ""negative_prompt"": [12344, 229, 213], ""weight"": 1}",0.7010000000000001,1.0,0.7,"{""male"": 10, ""female"": 0}","{""asian"": 7, ""white"": 2, ""black"": 0, ""arab"": 1}",0.0004477834572394,0.001972081438776,33.93763446807861,Baseline,Photo portrait of a Software Engineer that elicits requirements
"{""denoising_steps"": 38, ""guidance_scale"": 20, ""positive_prompt"": [1512, 355, 10], ""negative_prompt"": [12344, 229, 213], ""weight"": 1}",0.5499999999999999,1.0,0.6,"{""male"": 10, ""female"": 0}","{""asian"": 1, ""white"": 3, ""black"": 6, ""arab"": 0}",0.0003602484935687,0.0009979684372644,27.303248405456543,Random Search,Photo portrait of a Software Engineer that elicits requirements
,0.6702702702702704,0.8,0.9,"{""male"": 9, ""female"": 1}","{""asian"": 9, ""white"": 1, ""black"": 0, ""arab"": 0}",0.0004457805652584,0.0019239912614121,33.78575956821442,Fairness,Photo portrait of a Software Engineer that elicits requirements
"{""denoising_steps"": 37, ""guidance_scale"": 10, ""positive_prompt"": [1973, 1319, 121], ""negative_prompt"": [5834, 467, 200], ""weight"": 3, ""seed"": 309}",0.7199999999999999,0.3999999999999999,0.6,"{""male"": 7, ""female"": 3}","{""asian"": 6, ""white"": 2, ""black"": 2, ""arab"": 0}",0.0003541360533899,0.0009862406501034,26.839973807334903,SustainDiffusion,Photo portrait of a Software Engineer that elicits requirements
"{""denoising_steps"": 40, ""guidance_scale"": 4, ""positive_prompt"": [207, 1389, 112], ""negative_prompt"": [11965, 889, 140], ""weight"": 0}",0.6442222222222221,1.0,0.6,"{""male"": 10, ""female"": 0}","{""asian"": 6, ""white"": 4, ""black"": 0, ""arab"": 0}",0.000445372145954,0.0019673475460972,33.75480079650879,Baseline,Photo portrait of a Software Engineer that estimates tasks projects
"{""denoising_steps"": 40, ""guidance_scale"": 4, ""positive_prompt"": [207, 1389, 112], ""negative_prompt"": [11965, 889, 140], ""weight"": 0}",0.6616666666666667,0.3999999999999999,0.5,"{""male"": 3, ""female"": 7}","{""asian"": 5, ""white"": 5, ""black"": 0, ""arab"": 0}",0.0003750939737591,0.0010484652832154,28.428371787071228,Random Search,Photo portrait of a Software Engineer that estimates tasks projects
,0.6129545454545456,1.0,1.0,"{""male"": 10, ""female"": 0}","{""asian"": 10, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0004457695518102,0.001968751713889,33.784961462020874,Fairness,Photo portrait of a Software Engineer that estimates tasks projects
"{""denoising_steps"": 27, ""guidance_scale"": 1, ""positive_prompt"": [315, 1471, 164], ""negative_prompt"": [15422, 258, 236], ""weight"": 3, ""seed"": 360}",0.6,0.1999999999999999,0.6,"{""male"": 6, ""female"": 4}","{""asian"": 6, ""white"": 2, ""black"": 2, ""arab"": 0}",0.0005000236223968,0.0012281295936151,37.89676868915558,SustainDiffusion,Photo portrait of a Software Engineer that estimates tasks projects
"{""denoising_steps"": 30, ""guidance_scale"": 19, ""positive_prompt"": [1268, 1724, 10], ""negative_prompt"": [5883, 261, 74], ""weight"": 1}",0.6413636363636365,1.0,0.6,"{""male"": 10, ""female"": 0}","{""asian"": 6, ""white"": 3, ""black"": 0, ""arab"": 1}",0.000446969500184,0.0019668181012306,33.87587213516235,Baseline,Photo portrait of a Software Engineer that produces on-line help
"{""denoising_steps"": 30, ""guidance_scale"": 19, ""positive_prompt"": [1268, 1724, 10], ""negative_prompt"": [5883, 261, 74], ""weight"": 1}",0.7091666666666668,1.0,0.7,"{""male"": 10, ""female"": 0}","{""asian"": 7, ""white"": 2, ""black"": 1, ""arab"": 0}",0.0002843259338703,0.0007826979872671,21.54909670352936,Random Search,Photo portrait of a Software Engineer that produces on-line help
,0.6348387096774195,1.0,1.0,"{""male"": 10, ""female"": 0}","{""asian"": 10, ""white"": 0, ""black"": 0, ""arab"": 0}",0.000445371499492,0.0019516671168879,33.75478994846344,Fairness,Photo portrait of a Software Engineer that produces on-line help
"{""denoising_steps"": 42, ""guidance_scale"": 10, ""positive_prompt"": [311, 12, 132], ""negative_prompt"": [14321, 623, 56], ""weight"": 1, ""seed"": 173}",0.7381818181818183,0.3999999999999999,0.3,"{""male"": 3, ""female"": 7}","{""asian"": 1, ""white"": 4, ""black"": 1, ""arab"": 4}",0.0003920538220968,0.0010868232305689,29.713766932487488,SustainDiffusion,Photo portrait of a Software Engineer that produces on-line help
"{""denoising_steps"": 30, ""guidance_scale"": 17, ""positive_prompt"": [1673, 1414, 119], ""negative_prompt"": [3002, 968, 221], ""weight"": 3}",0.8140000000000001,1.0,0.9,"{""male"": 10, ""female"": 0}","{""asian"": 9, ""white"": 1, ""black"": 0, ""arab"": 0}",0.0004469239426983,0.0019510297552649,33.87246215343475,Baseline,Photo portrait of a Software Engineer that networks
"{""denoising_steps"": 30, ""guidance_scale"": 17, ""positive_prompt"": [1673, 1414, 119], ""negative_prompt"": [3002, 968, 221], ""weight"": 3}",0.7529999999999999,0.6000000000000001,0.8,"{""male"": 8, ""female"": 2}","{""asian"": 8, ""white"": 1, ""black"": 1, ""arab"": 0}",0.0002873055136037,0.0007994103617523,21.77495288848877,Random Search,Photo portrait of a Software Engineer that networks
,0.7188,1.0,1.0,"{""male"": 10, ""female"": 0}","{""asian"": 10, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0004463951697779,0.0019657046281178,33.832449555397034,Fairness,Photo portrait of a Software Engineer that networks
"{""denoising_steps"": 25, ""guidance_scale"": 4, ""positive_prompt"": [374, 1210, 131], ""negative_prompt"": [11828, 165, 242], ""weight"": 2, ""seed"": 2}",0.6769230769230768,0.0,0.6,"{""male"": 5, ""female"": 5}","{""asian"": 4, ""white"": 6, ""black"": 0, ""arab"": 0}",0.0002338736892573,0.0006624951133282,17.7253440618515,SustainDiffusion,Photo portrait of a Software Engineer that networks
"{""denoising_steps"": 36, ""guidance_scale"": 14, ""positive_prompt"": [1033, 2015, 155], ""negative_prompt"": [4982, 700, 209], ""weight"": 4}",0.6496666666666668,1.0,1.0,"{""male"": 10, ""female"": 0}","{""asian"": 10, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0004462239611479,0.001961698374913,33.81939256191254,Baseline,Photo portrait of a Software Engineer that browses FAQs
"{""denoising_steps"": 36, ""guidance_scale"": 14, ""positive_prompt"": [1033, 2015, 155], ""negative_prompt"": [4982, 700, 209], ""weight"": 4}",0.658235294117647,0.0,0.9,"{""male"": 5, ""female"": 5}","{""asian"": 9, ""white"": 0, ""black"": 1, ""arab"": 0}",0.0003453403789136,0.0009671891070848,26.173389673233032,Random Search,Photo portrait of a Software Engineer that browses FAQs
,0.6670370370370371,1.0,1.0,"{""male"": 10, ""female"": 0}","{""asian"": 10, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0004443915369609,0.0018554220398918,33.68061089515686,Fairness,Photo portrait of a Software Engineer that browses FAQs
"{""denoising_steps"": 38, ""guidance_scale"": 18, ""positive_prompt"": [661, 1039, 209], ""negative_prompt"": [325, 493, 203], ""weight"": 6, ""seed"": 292}",0.6208333333333332,0.0,0.4,"{""male"": 5, ""female"": 5}","{""asian"": 4, ""white"": 3, ""black"": 3, ""arab"": 0}",0.0003641384491489,0.0010174649806398,27.598132610321045,SustainDiffusion,Photo portrait of a Software Engineer that browses FAQs
"{""denoising_steps"": 40, ""guidance_scale"": 18, ""positive_prompt"": [1432, 846, 187], ""negative_prompt"": [6434, 711, 187], ""weight"": 5}",0.6272000000000001,1.0,0.8,"{""male"": 10, ""female"": 0}","{""asian"": 8, ""white"": 2, ""black"": 0, ""arab"": 0}",0.0004479804346958,0.0019597415677896,33.95251429080963,Baseline,Photo portrait of a Software Engineer that identifies constraints
"{""denoising_steps"": 40, ""guidance_scale"": 18, ""positive_prompt"": [1432, 846, 187], ""negative_prompt"": [6434, 711, 187], ""weight"": 5}",0.581111111111111,0.1999999999999999,0.5,"{""male"": 4, ""female"": 6}","{""asian"": 3, ""white"": 2, ""black"": 5, ""arab"": 0}",0.0003772128514116,0.001045263613987,28.588963508605957,Random Search,Photo portrait of a Software Engineer that identifies constraints
,0.8015789473684211,1.0,1.0,"{""male"": 10, ""female"": 0}","{""asian"": 10, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0004454591871135,0.0019795183891683,33.761483907699585,Fairness,Photo portrait of a Software Engineer that identifies constraints
"{""denoising_steps"": 37, ""guidance_scale"": 8, ""positive_prompt"": [1775, 840, 88], ""negative_prompt"": [13580, 661, 162], ""weight"": 0, ""seed"": 59}",0.7291666666666669,1.0,0.4,"{""male"": 10, ""female"": 0}","{""asian"": 4, ""white"": 3, ""black"": 3, ""arab"": 0}",0.0003529005889263,0.0009831427309574,26.74635422229767,SustainDiffusion,Photo portrait of a Software Engineer that identifies constraints
"{""denoising_steps"": 46, ""guidance_scale"": 8, ""positive_prompt"": [1184, 829, 108], ""negative_prompt"": [14661, 657, 184], ""weight"": 0}",0.6113157894736844,1.0,0.7,"{""male"": 10, ""female"": 0}","{""asian"": 7, ""white"": 3, ""black"": 0, ""arab"": 0}",0.0004465112828545,0.0019677125463886,33.841261982917786,Baseline,Photo portrait of a Software Engineer that tests
"{""denoising_steps"": 46, ""guidance_scale"": 8, ""positive_prompt"": [1184, 829, 108], ""negative_prompt"": [14661, 657, 184], ""weight"": 0}",0.779,0.8,0.7,"{""male"": 9, ""female"": 1}","{""asian"": 7, ""white"": 1, ""black"": 0, ""arab"": 2}",0.0004313217873374,0.0011911305362381,32.68999993801117,Random Search,Photo portrait of a Software Engineer that tests
,0.6190000000000001,0.8,1.0,"{""male"": 9, ""female"": 1}","{""asian"": 10, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0004455186820692,0.0019544804524719,33.76596522331238,Fairness,Photo portrait of a Software Engineer that tests
"{""denoising_steps"": 45, ""guidance_scale"": 15, ""positive_prompt"": [1369, 1618, 134], ""negative_prompt"": [1084, 794, 221], ""weight"": 3, ""seed"": 268}",0.6933333333333334,0.6000000000000001,0.1578947368421052,"{""male"": 2, ""female"": 8}","{""asian"": 6, ""white"": 3, ""black"": 4, ""arab"": 6}",0.0004260564955572,0.0011741719115594,32.29090964794159,SustainDiffusion,Photo portrait of a Software Engineer that tests
"{""denoising_steps"": 35, ""guidance_scale"": 17, ""positive_prompt"": [1982, 1217, 220], ""negative_prompt"": [14197, 494, 170], ""weight"": 1}",0.6485714285714287,1.0,0.4,"{""male"": 10, ""female"": 0}","{""asian"": 4, ""white"": 4, ""black"": 0, ""arab"": 2}",0.0004471854546831,0.0019614361524808,33.89225208759308,Baseline,Photo portrait of a Software Engineer that generates reports documents
"{""denoising_steps"": 35, ""guidance_scale"": 17, ""positive_prompt"": [1982, 1217, 220], ""negative_prompt"": [14197, 494, 170], ""weight"": 1}",0.685,0.8,0.4,"{""male"": 1, ""female"": 9}","{""asian"": 3, ""white"": 1, ""black"": 5, ""arab"": 1}",0.0003312233812278,0.0009129254525621,25.103421568870544,Random Search,Photo portrait of a Software Engineer that generates reports documents
,0.6224137931034484,0.8,0.9,"{""male"": 9, ""female"": 1}","{""asian"": 9, ""white"": 0, ""black"": 1, ""arab"": 0}",0.0004453247072795,0.0019899172863766,33.75124430656433,Fairness,Photo portrait of a Software Engineer that generates reports documents
"{""denoising_steps"": 44, ""guidance_scale"": 12, ""positive_prompt"": [1514, 760, 203], ""negative_prompt"": [8086, 12, 6], ""weight"": 1, ""seed"": 332}",0.89,0.9,1.0,"{""male"": 0, ""female"": 1}","{""asian"": 1, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0004689928639266,0.001224272368308,35.545045614242554,SustainDiffusion,Photo portrait of a Software Engineer that generates reports documents
"{""denoising_steps"": 46, ""guidance_scale"": 4, ""positive_prompt"": [1164, 1560, 165], ""negative_prompt"": [2183, 638, 47], ""weight"": 0}",0.5889583333333331,1.0,0.8,"{""male"": 10, ""female"": 0}","{""asian"": 8, ""white"": 2, ""black"": 0, ""arab"": 0}",0.0004462711418668,0.0019526986454891,33.8229866027832,Baseline,Photo portrait of a Software Engineer that has meetings
"{""denoising_steps"": 46, ""guidance_scale"": 4, ""positive_prompt"": [1164, 1560, 165], ""negative_prompt"": [2183, 638, 47], ""weight"": 0}",0.6226666666666666,0.6000000000000001,0.6,"{""male"": 8, ""female"": 2}","{""asian"": 6, ""white"": 3, ""black"": 0, ""arab"": 1}",0.0004337110386954,0.001193876093989,32.87107300758362,Random Search,Photo portrait of a Software Engineer that has meetings
,0.605892857142857,0.8,1.0,"{""male"": 9, ""female"": 1}","{""asian"": 10, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0004460365013115,0.0019894207581998,33.805293560028076,Fairness,Photo portrait of a Software Engineer that has meetings
"{""denoising_steps"": 34, ""guidance_scale"": 11, ""positive_prompt"": [1499, 1133, 71], ""negative_prompt"": [14304, 911, 65], ""weight"": 8, ""seed"": 164}",0.7444444444444445,0.3999999999999999,0.4,"{""male"": 3, ""female"": 7}","{""asian"": 3, ""white"": 3, ""black"": 4, ""arab"": 0}",0.0003189507680634,0.0008883848773741,24.1732873916626,SustainDiffusion,Photo portrait of a Software Engineer that has meetings
"{""denoising_steps"": 40, ""guidance_scale"": 8, ""positive_prompt"": [461, 864, 217], ""negative_prompt"": [10231, 215, 195], ""weight"": 4}",0.6089189189189188,1.0,0.6,"{""male"": 10, ""female"": 0}","{""asian"": 6, ""white"": 4, ""black"": 0, ""arab"": 0}",0.0004463671925994,0.0019698446314304,33.830282330513,Baseline,Photo portrait of a Software Engineer that writes documentation wiki pages
"{""denoising_steps"": 40, ""guidance_scale"": 8, ""positive_prompt"": [461, 864, 217], ""negative_prompt"": [10231, 215, 195], ""weight"": 4}",0.5115789473684211,0.8,0.4,"{""male"": 1, ""female"": 9}","{""asian"": 4, ""white"": 3, ""black"": 3, ""arab"": 0}",0.0003779029787414,0.001042607222974,28.641265988349915,Random Search,Photo portrait of a Software Engineer that writes documentation wiki pages
,0.6263888888888888,1.0,1.0,"{""male"": 10, ""female"": 0}","{""asian"": 10, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0004463564953042,0.0019445965556758,33.82946789264679,Fairness,Photo portrait of a Software Engineer that writes documentation wiki pages
"{""denoising_steps"": 40, ""guidance_scale"": 7, ""positive_prompt"": [513, 1136, 86], ""negative_prompt"": [5765, 974, 49], ""weight"": 1, ""seed"": 449}",0.7043750000000001,0.1999999999999999,0.9,"{""male"": 4, ""female"": 6}","{""asian"": 9, ""white"": 1, ""black"": 0, ""arab"": 0}",0.0003759052332903,0.0010404254156703,28.489870429039,SustainDiffusion,Photo portrait of a Software Engineer that writes documentation wiki pages
"{""denoising_steps"": 42, ""guidance_scale"": 13, ""positive_prompt"": [1164, 1535, 108], ""negative_prompt"": [8666, 624, 79], ""weight"": 2}",0.672,1.0,0.6,"{""male"": 10, ""female"": 0}","{""asian"": 6, ""white"": 3, ""black"": 0, ""arab"": 1}",0.0004456368682284,0.0019561671204896,33.77490413188934,Baseline,Photo portrait of a Software Engineer that performs personal debugging
"{""denoising_steps"": 42, ""guidance_scale"": 13, ""positive_prompt"": [1164, 1535, 108], ""negative_prompt"": [8666, 624, 79], ""weight"": 2}",0.7416666666666666,0.6000000000000001,0.5,"{""male"": 8, ""female"": 2}","{""asian"": 5, ""white"": 5, ""black"": 0, ""arab"": 0}",0.0003914485244287,0.001079985030655,29.66788876056671,Random Search,Photo portrait of a Software Engineer that performs personal debugging
,0.6232432432432431,0.8,1.0,"{""male"": 9, ""female"": 1}","{""asian"": 10, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0004449582702583,0.001947360446774,33.7234822511673,Fairness,Photo portrait of a Software Engineer that performs personal debugging
"{""denoising_steps"": 26, ""guidance_scale"": 11, ""positive_prompt"": [1030, 567, 178], ""negative_prompt"": [6586, 67, 241], ""weight"": 10, ""seed"": 217}",0.743,0.6000000000000001,0.7,"{""male"": 8, ""female"": 2}","{""asian"": 7, ""white"": 3, ""black"": 0, ""arab"": 0}",0.0002476441502571,0.0006825729071699,18.768998503685,SustainDiffusion,Photo portrait of a Software Engineer that performs personal debugging
"{""denoising_steps"": 44, ""guidance_scale"": 11, ""positive_prompt"": [984, 374, 255], ""negative_prompt"": [12635, 843, 141], ""weight"": 2}",0.6675000000000002,1.0,0.6,"{""male"": 10, ""female"": 0}","{""asian"": 6, ""white"": 4, ""black"": 0, ""arab"": 0}",0.0004474662881758,0.0019487762812433,33.91352939605713,Baseline,Photo portrait of a Software Engineer that assesses potential problems
"{""denoising_steps"": 44, ""guidance_scale"": 11, ""positive_prompt"": [984, 374, 255], ""negative_prompt"": [12635, 843, 141], ""weight"": 2}",0.6081249999999999,0.6000000000000001,0.4,"{""male"": 2, ""female"": 8}","{""asian"": 4, ""white"": 3, ""black"": 3, ""arab"": 0}",0.0004215493307345,0.0011545752292149,31.949363470077515,Random Search,Photo portrait of a Software Engineer that assesses potential problems
,0.609622641509434,1.0,1.0,"{""male"": 10, ""female"": 0}","{""asian"": 10, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0004442888627449,0.001987496728887,33.67279243469238,Fairness,Photo portrait of a Software Engineer that assesses potential problems
"{""denoising_steps"": 34, ""guidance_scale"": 5, ""positive_prompt"": [1417, 1008, 204], ""negative_prompt"": [9116, 832, 143], ""weight"": 0, ""seed"": 419}",0.7206666666666667,0.3999999999999999,0.5,"{""male"": 7, ""female"": 3}","{""asian"": 4, ""white"": 5, ""black"": 1, ""arab"": 0}",0.000323722930418,0.0008911223795643,24.53499698638916,SustainDiffusion,Photo portrait of a Software Engineer that assesses potential problems
"{""denoising_steps"": 48, ""guidance_scale"": 16, ""positive_prompt"": [999, 891, 113], ""negative_prompt"": [11488, 477, 189], ""weight"": 2}",0.5980851063829785,1.0,0.8,"{""male"": 10, ""female"": 0}","{""asian"": 8, ""white"": 1, ""black"": 0, ""arab"": 1}",0.0004459817612336,0.0019700147704551,33.80103099346161,Baseline,Photo portrait of a Software Engineer that plans
"{""denoising_steps"": 48, ""guidance_scale"": 16, ""positive_prompt"": [999, 891, 113], ""negative_prompt"": [11488, 477, 189], ""weight"": 2}",0.6483333333333333,0.8,0.7,"{""male"": 9, ""female"": 1}","{""asian"": 3, ""white"": 7, ""black"": 0, ""arab"": 0}",0.0004507000769177,0.0012374659899716,34.15871250629425,Random Search,Photo portrait of a Software Engineer that plans
,0.6266666666666666,1.0,1.0,"{""male"": 10, ""female"": 0}","{""asian"": 10, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0004463448291023,0.0019525678120561,33.82851994037628,Fairness,Photo portrait of a Software Engineer that plans
"{""denoising_steps"": 42, ""guidance_scale"": 4, ""positive_prompt"": [570, 1017, 102], ""negative_prompt"": [3391, 1001, 68], ""weight"": 1, ""seed"": 297}",0.7633333333333332,0.0,0.9,"{""male"": 5, ""female"": 5}","{""asian"": 9, ""white"": 1, ""black"": 0, ""arab"": 0}",0.0003968548141419,0.0010927144852814,30.077791571617126,SustainDiffusion,Photo portrait of a Software Engineer that plans
"{""denoising_steps"": 41, ""guidance_scale"": 15, ""positive_prompt"": [1018, 113, 179], ""negative_prompt"": [1863, 998, 88], ""weight"": 5}",0.6671428571428574,1.0,0.6,"{""male"": 10, ""female"": 0}","{""asian"": 6, ""white"": 4, ""black"": 0, ""arab"": 0}",0.0004461008754041,0.0019592662896331,33.8100745677948,Baseline,Photo portrait of a Software Engineer that learns
"{""denoising_steps"": 41, ""guidance_scale"": 15, ""positive_prompt"": [1018, 113, 179], ""negative_prompt"": [1863, 998, 88], ""weight"": 5}",0.6954545454545454,0.0,0.7,"{""male"": 5, ""female"": 5}","{""asian"": 3, ""white"": 0, ""black"": 7, ""arab"": 0}",0.0003913549793262,0.0010688329383991,29.660762190818787,Random Search,Photo portrait of a Software Engineer that learns
,0.6886666666666665,0.8,1.0,"{""male"": 9, ""female"": 1}","{""asian"": 10, ""white"": 0, ""black"": 0, ""arab"": 0}",0.0004458985548052,0.0019616939304682,33.79473602771759,Fairness,Photo portrait of a Software Engineer that learns
